invoice_id,customer_id,customer_name,invoice_amount,payment_ids,settlement_ids,bank_transaction_ids,payment_amount,expected_settlement,actual_bank_amount,difference,status,root_cause,confidence,match_method,requires_review,explanation,recommended_action,evidence
INV001,C001,Alpha Retail Pvt Ltd,90500.00,PAY0001,SET0001,BNK0001,90500.00,88364.00,88364.00,0.00,RECONCILED,GATEWAY_FEE_GST,100.0,EXACT_ID,False,The lower bank credit is fully explained by recorded gateway fees and GST.,No reconciliation action required.,"{""chain_issues"": [], ""match_trace"": [{""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""invoice_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""INV001"", ""stage"": ""INVOICE_TO_PAYMENT"", ""target_ids"": [""PAY0001""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""payment_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""PAY0001"", ""stage"": ""PAYMENT_TO_SETTLEMENT"", ""target_ids"": [""SET0001""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""settlement_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""SET0001"", ""stage"": ""SETTLEMENT_TO_BANK"", ""target_ids"": [""BNK0001""]}], ""root_cause"": {""actual_bank_amount"": ""88364.00"", ""chargeback_adjustment_total"": ""0.00"", ""chargeback_evidence_total"": ""0.00"", ""expected_settlement"": ""88364.00"", ""gateway_fee_total"": ""1810.00"", ""gst_total"": ""326.00"", ""invoice_amount"": ""90500.00"", ""match_confidence"": 100.0, ""other_adjustment_total"": ""0.00"", ""payment_total"": ""90500.00"", ""refund_adjustment_total"": ""0.00"", ""refund_evidence_total"": ""0.00""}}"
INV002,C002,Nova Technologies Pvt Ltd,400000.00,PAY0002,SET0002,BNK0002,400000.00,400000.00,400000.00,0.00,RECONCILED,CLEAN,100.0,EXACT_ID,False,"Invoice, payment, settlement and bank credit reconcile without unexplained differences.",No action required.,"{""chain_issues"": [], ""match_trace"": [{""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""invoice_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""INV002"", ""stage"": ""INVOICE_TO_PAYMENT"", ""target_ids"": [""PAY0002""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""payment_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""PAY0002"", ""stage"": ""PAYMENT_TO_SETTLEMENT"", ""target_ids"": [""SET0002""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""settlement_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""SET0002"", ""stage"": ""SETTLEMENT_TO_BANK"", ""target_ids"": [""BNK0002""]}], ""root_cause"": {""actual_bank_amount"": ""400000.00"", ""chargeback_adjustment_total"": ""0.00"", ""chargeback_evidence_total"": ""0.00"", ""expected_settlement"": ""400000.00"", ""gateway_fee_total"": ""0.00"", ""gst_total"": ""0.00"", ""invoice_amount"": ""400000.00"", ""match_confidence"": 100.0, ""other_adjustment_total"": ""0.00"", ""payment_total"": ""400000.00"", ""refund_adjustment_total"": ""0.00"", ""refund_evidence_total"": ""0.00""}}"
INV003,C003,Horizon Foods LLP,162500.00,PAY0003,SET0003,BNK0003,157500.00,157500.00,157500.00,0.00,UNRESOLVED,AMOUNT_MISMATCH,100.0,EXACT_ID,True,The amount collected does not agree with the invoice terms.,Review the payment amount and invoice terms before reconciliation.,"{""chain_issues"": [], ""match_trace"": [{""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""invoice_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""INV003"", ""stage"": ""INVOICE_TO_PAYMENT"", ""target_ids"": [""PAY0003""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""payment_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""PAY0003"", ""stage"": ""PAYMENT_TO_SETTLEMENT"", ""target_ids"": [""SET0003""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""settlement_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""SET0003"", ""stage"": ""SETTLEMENT_TO_BANK"", ""target_ids"": [""BNK0003""]}], ""root_cause"": {""actual_bank_amount"": ""157500.00"", ""chargeback_adjustment_total"": ""0.00"", ""chargeback_evidence_total"": ""0.00"", ""expected_settlement"": ""157500.00"", ""gateway_fee_total"": ""0.00"", ""gst_total"": ""0.00"", ""invoice_amount"": ""162500.00"", ""invoice_payment_difference"": ""5000.00"", ""match_confidence"": 100.0, ""other_adjustment_total"": ""0.00"", ""payment_total"": ""157500.00"", ""refund_adjustment_total"": ""0.00"", ""refund_evidence_total"": ""0.00""}}"
INV004,C004,BluePeak Logistics Pvt Ltd,498000.00,PAY0004,SET0004,BNK0004,498000.00,348600.00,348600.00,0.00,EXPLAINED_EXCEPTION,PARTIAL_REFUND,100.0,EXACT_ID,False,The settlement reduction is explained by a processed partial refund.,No reconciliation correction is required; retain the refund linkage for audit.,"{""chain_issues"": [], ""match_trace"": [{""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""invoice_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""INV004"", ""stage"": ""INVOICE_TO_PAYMENT"", ""target_ids"": [""PAY0004""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""payment_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""PAY0004"", ""stage"": ""PAYMENT_TO_SETTLEMENT"", ""target_ids"": [""SET0004""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""settlement_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""SET0004"", ""stage"": ""SETTLEMENT_TO_BANK"", ""target_ids"": [""BNK0004""]}], ""root_cause"": {""actual_bank_amount"": ""348600.00"", ""chargeback_adjustment_total"": ""0.00"", ""chargeback_evidence_total"": ""0.00"", ""expected_settlement"": ""348600.00"", ""gateway_fee_total"": ""0.00"", ""gst_total"": ""0.00"", ""invoice_amount"": ""498000.00"", ""match_confidence"": 100.0, ""other_adjustment_total"": ""0.00"", ""payment_total"": ""498000.00"", ""refund_adjustment_total"": ""149400.00"", ""refund_evidence_total"": ""149400.00""}}"
INV005,C005,Vertex Consulting LLP,19500.00,PAY0005,SET0005,BNK0005,19500.00,19500.00,19500.00,0.00,RECONCILED,CLEAN,100.0,FUZZY,False,"Invoice, payment, settlement and bank credit reconcile without unexplained differences.",No action required.,"{""chain_issues"": [], ""match_trace"": [{""accepted"": true, ""confidence"": 100.0, ""evidence"": {""amount_score"": 100.0, ""candidate_count"": 1, ""confidence_band"": ""AUTO_MATCH"", ""customer_score"": 100.0, ""date_distance_days"": 0, ""date_score"": 100.0, ""decision_reason"": ""High confidence with sufficient separation from competing candidates."", ""margin"": null, ""reference_score"": 100.0, ""second_best_score"": null}, ""method"": ""FUZZY"", ""requires_review"": false, ""source_id"": ""INV005"", ""stage"": ""INVOICE_TO_PAYMENT"", ""target_ids"": [""PAY0005""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""amount_score"": 100.0, ""candidate_count"": 1, ""confidence_band"": ""AUTO_MATCH"", ""date_distance_days"": 2, ""date_score"": 100.0, ""decision_reason"": ""High confidence with sufficient separation from competing candidates."", ""margin"": null, ""reference_score"": 100.0, ""second_best_score"": null}, ""method"": ""FUZZY"", ""requires_review"": false, ""source_id"": ""PAY0005"", ""stage"": ""PAYMENT_TO_SETTLEMENT"", ""target_ids"": [""SET0005""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""amount_score"": 100.0, ""candidate_count"": 1, ""confidence_band"": ""AUTO_MATCH"", ""date_distance_days"": 0, ""date_score"": 100.0, ""decision_reason"": ""High confidence with sufficient separation from competing candidates."", ""margin"": null, ""reference_score"": 100.0, ""second_best_score"": null}, ""method"": ""FUZZY"", ""requires_review"": false, ""source_id"": ""SET0005"", ""stage"": ""SETTLEMENT_TO_BANK"", ""target_ids"": [""BNK0005""]}], ""root_cause"": {""actual_bank_amount"": ""19500.00"", ""chargeback_adjustment_total"": ""0.00"", ""chargeback_evidence_total"": ""0.00"", ""expected_settlement"": ""19500.00"", ""gateway_fee_total"": ""0.00"", ""gst_total"": ""0.00"", ""invoice_amount"": ""19500.00"", ""match_confidence"": 100.0, ""other_adjustment_total"": ""0.00"", ""payment_total"": ""19500.00"", ""refund_adjustment_total"": ""0.00"", ""refund_evidence_total"": ""0.00""}}"
INV006,C006,GreenCart Commerce Pvt Ltd,132500.00,PAY0006,SET0006,BNK0006,132500.00,132500.00,132500.00,0.00,RECONCILED,CLEAN,100.0,FUZZY,False,"Invoice, payment, settlement and bank credit reconcile without unexplained differences.",No action required.,"{""chain_issues"": [], ""match_trace"": [{""accepted"": true, ""confidence"": 100.0, ""evidence"": {""amount_score"": 100.0, ""candidate_count"": 1, ""confidence_band"": ""AUTO_MATCH"", ""customer_score"": 100.0, ""date_distance_days"": 0, ""date_score"": 100.0, ""decision_reason"": ""High confidence with sufficient separation from competing candidates."", ""margin"": null, ""reference_score"": 100.0, ""second_best_score"": null}, ""method"": ""FUZZY"", ""requires_review"": false, ""source_id"": ""INV006"", ""stage"": ""INVOICE_TO_PAYMENT"", ""target_ids"": [""PAY0006""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""amount_score"": 100.0, ""candidate_count"": 1, ""confidence_band"": ""AUTO_MATCH"", ""date_distance_days"": 2, ""date_score"": 100.0, ""decision_reason"": ""High confidence with sufficient separation from competing candidates."", ""margin"": null, ""reference_score"": 100.0, ""second_best_score"": null}, ""method"": ""FUZZY"", ""requires_review"": false, ""source_id"": ""PAY0006"", ""stage"": ""PAYMENT_TO_SETTLEMENT"", ""target_ids"": [""SET0006""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""amount_score"": 100.0, ""candidate_count"": 1, ""confidence_band"": ""AUTO_MATCH"", ""date_distance_days"": 0, ""date_score"": 100.0, ""decision_reason"": ""High confidence with sufficient separation from competing candidates."", ""margin"": null, ""reference_score"": 100.0, ""second_best_score"": null}, ""method"": ""FUZZY"", ""requires_review"": false, ""source_id"": ""SET0006"", ""stage"": ""SETTLEMENT_TO_BANK"", ""target_ids"": [""BNK0006""]}], ""root_cause"": {""actual_bank_amount"": ""132500.00"", ""chargeback_adjustment_total"": ""0.00"", ""chargeback_evidence_total"": ""0.00"", ""expected_settlement"": ""132500.00"", ""gateway_fee_total"": ""0.00"", ""gst_total"": ""0.00"", ""invoice_amount"": ""132500.00"", ""match_confidence"": 100.0, ""other_adjustment_total"": ""0.00"", ""payment_total"": ""132500.00"", ""refund_adjustment_total"": ""0.00"", ""refund_evidence_total"": ""0.00""}}"
INV007,C007,Orbit Systems Pvt Ltd,384500.00,PAY0007|PAY0008,SET0007|SET0008,BNK0007|BNK0008,769000.00,769000.00,769000.00,0.00,EXPLAINED_EXCEPTION,DUPLICATE_PAYMENT,100.0,EXACT_ID,True,Multiple full-value payments were received against the same invoice within a short time window.,Review the duplicate receipt and determine whether a refund or customer credit is required.,"{""chain_issues"": [], ""match_trace"": [{""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""invoice_id"", ""match_count"": 2}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""INV007"", ""stage"": ""INVOICE_TO_PAYMENT"", ""target_ids"": [""PAY0007"", ""PAY0008""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""payment_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""PAY0007"", ""stage"": ""PAYMENT_TO_SETTLEMENT"", ""target_ids"": [""SET0007""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""payment_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""PAY0008"", ""stage"": ""PAYMENT_TO_SETTLEMENT"", ""target_ids"": [""SET0008""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""settlement_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""SET0007"", ""stage"": ""SETTLEMENT_TO_BANK"", ""target_ids"": [""BNK0007""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""settlement_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""SET0008"", ""stage"": ""SETTLEMENT_TO_BANK"", ""target_ids"": [""BNK0008""]}], ""root_cause"": {""actual_bank_amount"": ""769000.00"", ""chargeback_adjustment_total"": ""0.00"", ""chargeback_evidence_total"": ""0.00"", ""expected_settlement"": ""769000.00"", ""gateway_fee_total"": ""0.00"", ""gst_total"": ""0.00"", ""invoice_amount"": ""384500.00"", ""match_confidence"": 100.0, ""other_adjustment_total"": ""0.00"", ""payment_total"": ""769000.00"", ""refund_adjustment_total"": ""0.00"", ""refund_evidence_total"": ""0.00""}}"
INV008,C008,Cedar Healthcare Pvt Ltd,347500.00,PAY0009,SET0009,BNK0009,347500.00,347500.00,347500.00,0.00,RECONCILED,CLEAN,100.0,FUZZY,False,"Invoice, payment, settlement and bank credit reconcile without unexplained differences.",No action required.,"{""chain_issues"": [], ""match_trace"": [{""accepted"": true, ""confidence"": 100.0, ""evidence"": {""amount_score"": 100.0, ""candidate_count"": 1, ""confidence_band"": ""AUTO_MATCH"", ""customer_score"": 100.0, ""date_distance_days"": 2, ""date_score"": 100.0, ""decision_reason"": ""High confidence with sufficient separation from competing candidates."", ""margin"": null, ""reference_score"": 100.0, ""second_best_score"": null}, ""method"": ""FUZZY"", ""requires_review"": false, ""source_id"": ""INV008"", ""stage"": ""INVOICE_TO_PAYMENT"", ""target_ids"": [""PAY0009""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""amount_score"": 100.0, ""candidate_count"": 1, ""confidence_band"": ""AUTO_MATCH"", ""date_distance_days"": 2, ""date_score"": 100.0, ""decision_reason"": ""High confidence with sufficient separation from competing candidates."", ""margin"": null, ""reference_score"": 100.0, ""second_best_score"": null}, ""method"": ""FUZZY"", ""requires_review"": false, ""source_id"": ""PAY0009"", ""stage"": ""PAYMENT_TO_SETTLEMENT"", ""target_ids"": [""SET0009""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""amount_score"": 100.0, ""candidate_count"": 1, ""confidence_band"": ""AUTO_MATCH"", ""date_distance_days"": 0, ""date_score"": 100.0, ""decision_reason"": ""High confidence with sufficient separation from competing candidates."", ""margin"": null, ""reference_score"": 100.0, ""second_best_score"": null}, ""method"": ""FUZZY"", ""requires_review"": false, ""source_id"": ""SET0009"", ""stage"": ""SETTLEMENT_TO_BANK"", ""target_ids"": [""BNK0009""]}], ""root_cause"": {""actual_bank_amount"": ""347500.00"", ""chargeback_adjustment_total"": ""0.00"", ""chargeback_evidence_total"": ""0.00"", ""expected_settlement"": ""347500.00"", ""gateway_fee_total"": ""0.00"", ""gst_total"": ""0.00"", ""invoice_amount"": ""347500.00"", ""match_confidence"": 100.0, ""other_adjustment_total"": ""0.00"", ""payment_total"": ""347500.00"", ""refund_adjustment_total"": ""0.00"", ""refund_evidence_total"": ""0.00""}}"
INV009,C009,Nimbus Learning Pvt Ltd,280000.00,PAY0010,SET0010,BNK0010,280000.00,280000.00,280000.00,0.00,RECONCILED,CLEAN,100.0,EXACT_ID,False,"Invoice, payment, settlement and bank credit reconcile without unexplained differences.",No action required.,"{""chain_issues"": [], ""match_trace"": [{""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""invoice_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""INV009"", ""stage"": ""INVOICE_TO_PAYMENT"", ""target_ids"": [""PAY0010""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""payment_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""PAY0010"", ""stage"": ""PAYMENT_TO_SETTLEMENT"", ""target_ids"": [""SET0010""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""settlement_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""SET0010"", ""stage"": ""SETTLEMENT_TO_BANK"", ""target_ids"": [""BNK0010""]}], ""root_cause"": {""actual_bank_amount"": ""280000.00"", ""chargeback_adjustment_total"": ""0.00"", ""chargeback_evidence_total"": ""0.00"", ""expected_settlement"": ""280000.00"", ""gateway_fee_total"": ""0.00"", ""gst_total"": ""0.00"", ""invoice_amount"": ""280000.00"", ""match_confidence"": 100.0, ""other_adjustment_total"": ""0.00"", ""payment_total"": ""280000.00"", ""refund_adjustment_total"": ""0.00"", ""refund_evidence_total"": ""0.00""}}"
INV010,C010,UrbanNest Interiors LLP,485500.00,PAY0011,SET0011,BNK0011,485500.00,474042.00,474042.00,0.00,RECONCILED,GATEWAY_FEE_GST,100.0,EXACT_ID,False,The lower bank credit is fully explained by recorded gateway fees and GST.,No reconciliation action required.,"{""chain_issues"": [], ""match_trace"": [{""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""invoice_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""INV010"", ""stage"": ""INVOICE_TO_PAYMENT"", ""target_ids"": [""PAY0011""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""payment_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""PAY0011"", ""stage"": ""PAYMENT_TO_SETTLEMENT"", ""target_ids"": [""SET0011""]}, {""accepted"": true, ""confidence"": 100.0, ""evidence"": {""match_basis"": ""settlement_id"", ""match_count"": 1}, ""method"": ""EXACT_ID"", ""requires_review"": false, ""source_id"": ""SET0011"", ""stage"": ""SETTLEMENT_TO_BANK"", ""target_ids"": [""BNK0011""]}], ""root_cause"": {""actual_bank_amount"": ""474042.00"", ""chargeback_adjustment_total"": ""0.00"", ""chargeback_evidence_total"": ""0.00"", ""expected_settlement"": ""474042.00"", ""gateway_fee_total"": ""9710.00"", ""gst_total"": ""1748.00"", ""invoice_amount"": ""485500.00"", ""match_confidence"": 100.0, ""other_adjustment_total"": ""0.00"", ""payment_total"": ""485500.00"", ""refund_adjustment_total"": ""0.00"", ""refund_evidence_total"": ""0.00""}}"
